iter	Passed	Remaining
0	22	22829
1	39	19545
2	55	18572
3	71	17890
4	88	17551
5	106	17666
6	125	17820
7	142	17724
8	159	17552
9	176	17478
10	194	17469
11	216	17800
12	241	18314
13	261	18408
14	278	18317
15	297	18272
16	315	18246
17	332	18134
18	349	18029
19	365	17922
20	382	17838
21	397	17672
22	414	17596
23	430	17510
24	450	17563
25	466	17488
26	483	17432
27	499	17327
28	513	17205
29	530	17146
30	547	17105
31	563	17054
32	578	16959
33	592	16843
34	609	16799
35	624	16712
36	638	16623
37	656	16624
38	676	16661
39	694	16667
40	711	16653
41	730	16665
42	747	16637
43	765	16640
44	781	16578
45	798	16558
46	814	16522
47	830	16466
48	848	16466
49	868	16496
50	887	16516
51	904	16490
52	921	16461
53	937	16431
54	955	16411
55	972	16400
56	988	16358
57	1007	16356
58	1023	16316
59	1040	16305
60	1058	16292
61	1078	16311
62	1099	16355
63	1118	16361
64	1136	16345
65	1153	16323
66	1171	16319
67	1188	16296
68	1207	16294
69	1224	16269
70	1241	16249
71	1258	16214
72	1276	16214
73	1297	16233
74	1316	16233
75	1333	16213
76	1350	16187
77	1367	16163
78	1385	16153
79	1404	16147
80	1421	16127
81	1441	16137
82	1463	16174
83	1489	16237
84	1516	16325
85	1541	16386
86	1563	16412
87	1588	16457
88	1608	16459
89	1626	16441
90	1644	16426
91	1663	16419
92	1685	16435
93	1709	16473
94	1738	16563
95	1759	16566
96	1777	16547
97	1798	16550
98	1815	16520
99	1833	16500
100	1851	16476
101	1868	16448
102	1888	16442
103	1908	16442
104	1929	16444
105	1954	16482
106	1974	16475
107	1994	16469
108	2013	16462
109	2033	16455
110	2054	16453
111	2073	16436
112	2091	16416
113	2110	16402
114	2127	16372
115	2144	16343
116	2164	16333
117	2188	16356
118	2208	16353
119	2227	16333
120	2246	16320
121	2265	16302
122	2283	16285
123	2304	16280
124	2322	16259
125	2348	16292
126	2376	16338
127	2399	16346
128	2420	16341
129	2439	16327
130	2459	16313
131	2478	16297
132	2499	16293
133	2520	16291
134	2541	16281
135	2558	16255
136	2576	16232
137	2599	16236
138	2618	16219
139	2637	16200
140	2656	16183
141	2677	16177
142	2699	16179
143	2720	16174
144	2742	16170
145	2761	16150
146	2778	16122
147	2798	16108
148	2823	16128
149	2844	16121
150	2862	16094
151	2879	16067
152	2898	16047
153	2916	16023
154	2935	16002
155	2955	15989
156	2973	15966
157	2991	15942
158	3011	15929
159	3038	15951
160	3060	15946
161	3078	15926
162	3097	15904
163	3118	15896
164	3139	15887
165	3159	15873
166	3177	15850
167	3196	15829
168	3216	15817
169	3241	15824
170	3264	15825
171	3288	15830
172	3311	15829
173	3332	15818
174	3352	15802
175	3369	15774
176	3389	15761
177	3406	15729
178	3426	15717
179	3447	15705
180	3465	15681
181	3488	15678
182	3504	15647
183	3528	15646
184	3548	15632
185	3565	15605
186	3585	15590
187	3605	15573
188	3626	15561
189	3647	15548
190	3674	15563
191	3701	15575
192	3722	15565
193	3741	15545
194	3759	15518
195	3778	15500
196	3796	15475
197	3816	15459
198	3836	15441
199	3852	15411
200	3870	15383
201	3890	15369
202	3908	15346
203	3932	15343
204	3949	15314
205	3969	15300
206	3988	15280
207	4004	15247
208	4024	15232
209	4045	15218
210	4062	15191
211	4080	15167
212	4098	15142
213	4118	15125
214	4140	15118
215	4157	15090
216	4176	15070
217	4193	15042
218	4211	15018
219	4230	15000
220	4252	14990
221	4272	14973
222	4290	14950
223	4309	14930
224	4336	14936
225	4355	14918
226	4375	14900
227	4394	14878
228	4410	14850
229	4431	14835
230	4452	14820
231	4472	14806
232	4490	14782
233	4508	14758
234	4527	14738
235	4552	14737
236	4574	14726
237	4592	14703
238	4608	14675
239	4628	14656
240	4650	14645
241	4670	14630
242	4692	14619
243	4715	14609
244	4735	14592
245	4755	14574
246	4777	14564
247	4804	14568
248	4838	14592
249	4867	14601
250	4886	14580
251	4904	14557
252	4929	14554
253	4950	14539
254	4973	14531
255	4998	14527
256	5023	14523
257	5042	14503
258	5065	14492
259	5088	14482
260	5114	14480
261	5134	14463
262	5153	14441
263	5170	14414
264	5194	14406
265	5216	14395
266	5243	14393
267	5262	14372
268	5284	14361
269	5314	14368
270	5345	14380
271	5379	14399
272	5410	14408
273	5444	14425
274	5470	14421
275	5492	14407
276	5513	14390
277	5531	14365
278	5547	14337
279	5565	14311
280	5582	14283
281	5605	14272
282	5625	14251
283	5645	14233
284	5670	14225
285	5689	14203
286	5705	14175
287	5722	14146
288	5737	14116
289	5753	14087
290	5770	14059
291	5787	14032
292	5804	14005
293	5820	13976
294	5838	13953
295	5857	13930
296	5876	13910
297	5893	13884
298	5910	13855
299	5929	13835
300	5945	13807
301	5963	13782
302	5980	13756
303	5997	13730
304	6013	13702
305	6029	13675
306	6047	13650
307	6066	13631
308	6085	13608
309	6102	13583
310	6120	13558
311	6142	13544
312	6168	13539
313	6189	13522
314	6210	13505
315	6230	13487
316	6250	13467
317	6272	13452
318	6295	13439
319	6324	13438
320	6345	13422
321	6367	13407
322	6388	13390
323	6408	13371
324	6429	13352
325	6449	13334
326	6471	13318
327	6492	13301
328	6516	13290
329	6544	13286
330	6574	13288
331	6609	13298
332	6629	13279
333	6649	13259
334	6670	13241
335	6689	13220
336	6707	13196
337	6730	13182
338	6747	13157
339	6770	13142
340	6790	13122
341	6810	13104
342	6831	13085
343	6850	13064
344	6869	13041
345	6887	13018
346	6907	12999
347	6926	12977
348	6950	12964
349	6990	12982
350	7041	13020
351	7149	13161
352	7194	13187
353	7233	13200
354	7291	13247
355	7317	13236
356	7343	13227
357	7367	13211
358	7392	13199
359	7410	13174
360	7429	13150
361	7446	13124
362	7463	13097
363	7482	13074
364	7504	13055
365	7522	13031
366	7542	13008
367	7560	12983
368	7577	12957
369	7595	12933
370	7618	12917
371	7639	12897
372	7660	12877
373	7677	12850
374	7695	12826
375	7713	12801
376	7731	12775
377	7749	12751
378	7766	12726
379	7784	12701
380	7810	12690
381	7835	12676
382	7855	12654
383	7872	12629
384	7888	12601
385	7904	12572
386	7920	12545
387	7937	12520
388	7953	12492
389	7968	12462
390	7984	12436
391	8005	12417
392	8030	12403
393	8047	12377
394	8065	12353
395	8082	12328
396	8099	12302
397	8116	12276
398	8133	12250
399	8149	12223
400	8166	12198
401	8181	12171
402	8197	12143
403	8213	12117
404	8231	12093
405	8249	12070
406	8265	12042
407	8280	12015
408	8299	11992
409	8315	11966
410	8334	11943
411	8355	11924
412	8371	11898
413	8390	11875
414	8409	11854
415	8426	11829
416	8445	11806
417	8464	11785
418	8481	11760
419	8498	11735
420	8513	11709
421	8529	11683
422	8546	11657
423	8563	11633
424	8580	11608
425	8597	11584
426	8617	11563
427	8634	11540
428	8652	11516
429	8667	11489
430	8687	11469
431	8704	11444
432	8718	11417
433	8735	11392
434	8751	11367
435	8767	11341
436	8782	11315
437	8798	11289
438	8813	11263
439	8828	11236
440	8845	11212
441	8861	11187
442	8878	11162
443	8904	11150
444	8919	11124
445	8935	11098
446	8950	11072
447	8965	11047
448	8981	11021
449	8998	10997
450	9012	10971
451	9028	10945
452	9043	10919
453	9058	10893
454	9073	10868
455	9088	10842
456	9109	10823
457	9125	10799
458	9142	10775
459	9158	10751
460	9174	10726
461	9190	10701
462	9206	10677
463	9223	10654
464	9240	10631
465	9256	10607
466	9274	10585
467	9289	10560
468	9305	10535
469	9323	10513
470	9339	10489
471	9356	10466
472	9377	10447
473	9396	10427
474	9416	10407
475	9435	10386
476	9452	10364
477	9470	10342
478	9489	10321
479	9507	10300
480	9527	10279
481	9547	10261
482	9564	10238
483	9584	10218
484	9605	10199
485	9626	10181
486	9643	10158
487	9659	10135
488	9677	10112
489	9694	10090
490	9710	10066
491	9727	10043
492	9742	10018
493	9760	9997
494	9776	9973
495	9793	9951
496	9810	9928
497	9825	9904
498	9843	9882
499	9858	9858
500	9874	9834
501	9891	9813
502	9907	9789
503	9924	9766
504	9941	9745
505	9958	9722
506	9975	9700
507	9991	9677
508	10008	9654
509	10023	9630
510	10039	9607
511	10056	9584
512	10071	9561
513	10087	9538
514	10103	9515
515	10120	9493
516	10137	9471
517	10153	9448
518	10169	9425
519	10187	9403
520	10203	9381
521	10218	9357
522	10234	9334
523	10250	9311
524	10266	9288
525	10282	9265
526	10299	9244
527	10315	9221
528	10331	9198
529	10349	9177
530	10365	9155
531	10383	9134
532	10403	9115
533	10419	9092
534	10435	9070
535	10451	9047
536	10468	9025
537	10483	9002
538	10500	8980
539	10516	8958
540	10532	8936
541	10548	8913
542	10564	8891
543	10583	8871
544	10603	8852
545	10621	8831
546	10636	8808
547	10651	8785
548	10667	8763
549	10683	8740
550	10698	8718
551	10715	8696
552	10730	8673
553	10745	8650
554	10760	8628
555	10776	8605
556	10793	8584
557	10809	8562
558	10825	8540
559	10843	8520
560	10860	8498
561	10874	8475
562	10891	8453
